L3,H3,H1,L4,L2
H1,H2,B,L4,S
B,L2,S,H1,H2
L5,H3,H2,H1,L5
S,L3,L2,H2,H4
L1,H4,L4,L4,W
L2,H1,H3,H2,H3
L1,H3,L2,H1,L5
L5,H4,B,L2,H4
B,W,L3,L1,L1
H4,H4,L4,L1,H3
B,H3,L3,H1,H3
L3,L1,L1,L3,S
B,L1,L4,S,H3
L1,L4,L4,L1,B
L5,L3,H3,H2,H1
L2,H4,L4,L1,S
L5,H1,S,L3,B
L5,L2,L2,W,L4
H1,H1,L2,W,L3
L1,H4,S,L4,H3
L5,L4,H4,L2,H2
L4,S,W,H2,H4
L3,B,S,L5,H2
H4,H2,H2,L3,L1
B,H3,W,L5,L5
L4,S,L5,L2,L2
B,L5,H4,H4,H4
W,L4,H4,L4,H2
H3,L1,S,B,H2
L4,H3,S,L4,L1
L4,B,L1,H2,H3
L2,S,W,L4,L4
L5,L1,L3,H1,H3
H1,H4,L1,L2,L3
H1,L1,W,B,H2
H1,L5,L5,B,W
W,L5,H4,H2,L1
H2,H1,L5,B,L3
L4,H1,L4,L1,H4
L3,B,H4,L2,H2
L5,H4,H1,L5,L1
H4,L1,L3,H2,L5
H4,B,L5,L4,H1
H1,L1,L3,H2,L3
L3,H3,B,W,L5
B,L5,H4,H1,L4
L2,L1,B,W,H3
S,L4,W,L1,H3
H1,B,L5,W,L2
B,L3,L3,L1,L1
W,S,B,H2,L3
L2,B,L5,S,W
H1,H2,H3,L1,S
H3,H3,H1,S,L5
L4,H3,W,L3,S
H3,L4,L1,L3,B
H1,B,L4,H3,S
H4,L1,H1,W,H1
H1,L3,L3,H1,L4
S,L3,H1,H1,L4
H1,B,H4,W,H2
H1,S,H3,L2,L1
L1,H3,S,H4,H2
H2,L3,L5,L4,W
L2,H4,L1,B,W
S,H3,H2,H4,L1
H4,H3,L1,L2,L2
H1,L1,L3,L5,L2
W,B,L2,L4,L3
L5,S,H2,H3,H3
L5,B,H1,L2,H2
L2,L3,H3,L2,L2
H3,H2,H4,H2,H2
S,W,B,L3,L4
L2,H3,H3,H4,S
L2,L1,H1,L4,H2
L2,H2,L5,W,L5
L1,L4,W,L2,H2
H1,H4,H1,L5,L4
H2,W,H1,L3,L3
H1,H3,W,L2,L3
L2,H1,L2,W,L1
H3,H3,H4,H2,S
S,L1,L2,H1,H4
L3,L3,B,L5,H2
L3,L4,L5,W,L2
B,H1,H2,H1,L2
W,S,H1,H1,H2
H2,L2,L2,W,S
H1,H1,L4,H1,L1
W,L1,L4,B,S
S,H4,L3,L5,H4
L5,B,L5,L5,H1
H4,H2,B,L4,L4
B,L3,H4,S,L5
H4,H4,L1,H2,L2
L2,L5,L3,W,L2
H2,H4,L4,L4,L1
H1,S,W,B,L3
L2,L4,L5,L1,H1
L1,L1,H2,H2,L5
L4,H2,L1,L5,L1
L2,L5,H2,H1,S
W,H2,S,H2,L5
H3,L3,L2,L2,L1
S,H4,H2,L1,L3
S,L5,H3,H1,H1
L2,B,L1,W,H4
L2,H1,L2,H4,H4
B,S,L3,L4,H2
L5,L4,H1,H3,L1
L2,L2,H4,L1,W
L5,H2,H3,L5,W
H1,H1,L3,H4,L1
H4,W,L3,S,H3
S,L4,H1,L5,H2
L2,L4,L5,H3,S
S,L2,H3,W,H4
L4,L4,L5,L5,L5
W,B,L4,L4,L3
H4,H4,L5,H1,H4
L3,H3,L1,L1,W
H3,W,B,H2,H2
W,S,L2,H1,H2
L1,L2,B,W,L5
H3,W,L2,L4,H1
L1,H4,L3,H4,L5
B,L1,H3,L2,L1
L3,L4,S,B,L5
H1,B,L1,L2,L3
W,L2,B,L1,L2
B,H1,L4,W,L1
L3,H2,B,L5,H2
H4,W,L4,H4,S
H3,L4,W,B,H3
H2,L5,B,S,H2
H3,H1,W,L4,L2
L4,L3,H1,H3,H1
H1,S,H2,H4,B
B,L3,H1,H3,H1
L4,B,H1,H3,H1
L4,L3,B,H3,H1
L4,L3,H1,B,H1
L4,L3,H1,H3,B
W,L3,H1,H3,H1
L4,W,H1,H3,H1
L4,L3,W,H3,H1
L4,L3,H1,W,H1
L4,L3,H1,H3,W
S,L3,H1,H3,H1
L4,S,H1,H3,H1
L4,L3,S,H3,H1
L4,L3,H1,S,H1
L4,L3,H1,H3,S
